Title,Sales,Series,Platform(s),Initial release date,Developer(s)[a],Publisher(s)[a]
Minecraft,238000000,Minecraft,Multi-platform[c],18-Nov-11,Mojang Studios,Xbox Game Studios
Grand Theft Auto V,175000000,Grand Theft Auto,Multi-platform,17-Sep-13,Rockstar North,Rockstar Games
Tetrisÿ(EA),100000000,Tetris,Multi-platform[c],12-Sep-06,EA Mobile,Electronic Arts
Wii Sports,82900000,Wii,Wii,19-Nov-06,Nintendo EAD,Nintendo
PUBG: Battlegrounds,75000000,PUBG Universe,Multi-platform,20-Dec-17,PUBG Corporation,PUBG Corporation
Mario Kart 8ÿ/ÿDeluxe,60460000,Mario Kart,Wii Uÿ/ÿSwitch,29-May-14,Nintendo EAD,Nintendo
Super Mario Bros.,58000000,Super Mario,Multi-platform[f],13-Sep-85,Nintendo R&D4,Nintendo
Red Dead Redemption 2,50000000,Red Dead,Multi-platform,26-Oct-18,Rockstar Studios,Rockstar Games
Pok‚mon Red / Green / Blueÿ/ÿYellow,47520000,Pok‚mon,Multi-platform,27-Feb-96,Game Freak,Nintendo
Terraria,44500000,None,Multi-platform[c],16-May-11,Re-Logic,Re-Logicÿ/ÿ505 Games
Wii Fitÿ/ÿPlus,43800000,Wii,Wii,1-Dec-07,Nintendo EAD,Nintendo
Tetrisÿ(1989)[i],43000000,Tetris,Game Boyÿ/ÿNES,14-Jun-89,Nintendo R&D1,Nintendo
Pac-Man,42071635,Pac-Man,Multi-platform[c],22-May-80,Namco,Namco
Animal Crossing: New Horizons,41590000,Animal Crossing,Nintendo Switch,20-Mar-20,Nintendo EPD,Nintendo
Human: Fall Flat,40000000,None,Multi-platform,22-Jul-16,No Brakes Games,Curve Digital
The Witcher 3ÿ/ÿHearts of Stoneÿ/ÿBlood and Wine,40000000,The Witcher,Multi-platform,19-May-15,CD Projekt Red,CD Projekt
Mario Kart Wii,37380000,Mario Kart,Wii,10-Apr-08,Nintendo EAD,Nintendo
Wii Sports Resort,33140000,Wii,Wii,25-Jun-09,Nintendo EAD,Nintendo
New Super Mario Bros.,30800000,Super Mario,Nintendo DS,15-May-06,Nintendo EAD,Nintendo
The Legend of Zelda: Breath of the Wild,30700000,The Legend of Zelda,Wii U / Switch,3-Mar-17,Nintendo EPD,Nintendo
