1,Minecraft,"238,000,000",Minecraft,Multi-platform[c],"November 18, 2011[d]",Mojang Studios,Xbox Game Studios
2,Grand Theft Auto V,"169,000,000",Grand Theft Auto,Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games
3,Tetris (EA),"100,000,000",Tetris,Multi-platform[e],"September 12, 2006",EA Mobile,Electronic Arts
4,Wii Sports,"82,900,000",Wii,Wii,"November 19, 2006",Nintendo EAD,Nintendo
5,PUBG: Battlegrounds,"75,000,000",PUBG Universe,Multi-platform,"December 20, 2017",PUBG Corporation,PUBG Corporation
6,Super Mario Bros.,"58,000,000",Super Mario,Multi-platform[f],"September 13, 1985",Nintendo R&D4,Nintendo
7,Mario Kart 8 / Deluxe,"55,280,000",Mario Kart,Wii U / Switch,"May 29, 2014",Nintendo EAD,Nintendo
8,Overwatch,"50,000,000",Overwatch,Multi-platform,"May 24, 2016",Blizzard Entertainment,Blizzard Entertainment
9,Pokémon Red / Green / Blue / Yellow,"47,520,000",Pokémon,Game Boy / Color,"February 27, 1996",Game Freak,Nintendo
10,Red Dead Redemption 2,"45,000,000",Red Dead,Multi-platform,"October 26, 2018",Rockstar Studios,Rockstar Games
11,Terraria,"44,500,000",None,Multi-platform[c],"May 16, 2011",Re-Logic,Re-Logic / 505 Games
12,Wii Fit / Plus,"43,800,000",Wii,Wii,"December 1, 2007",Nintendo EAD,Nintendo
13,Tetris (1989)[j],"43,000,000",Tetris,Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo
14,Pac-Man,"42,071,635",Pac-Man,Multi-platform[c],"May 22, 1980",Namco,Namco
15,The Witcher 3 / Hearts of Stone / Blood and Wine,"40,000,000",The Witcher,Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt
16,Animal Crossing: New Horizons,"39,380,000",Animal Crossing,Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo
17,Mario Kart Wii,"37,380,000",Mario Kart,Wii,"April 10, 2008",Nintendo EAD,Nintendo
18,Wii Sports Resort,"33,140,000",Wii,Wii,"June 25, 2009",Nintendo EAD,Nintendo
19,New Super Mario Bros.,"30,800,000",Super Mario,Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo
20,New Super Mario Bros. Wii,"30,320,000",Super Mario,Wii,"November 11, 2009",Nintendo EAD,Nintendo
21,Call of Duty: Modern Warfare,"30,000,000",Call of Duty,Multi-platform,"October 25, 2019",Infinity Ward,Activision
21,Diablo III / Reaper of Souls,"30,000,000",Diablo,Multi-platform,41045,Blizzard Entertainment,Blizzard Entertainment
21,Human: Fall Flat,"30,000,000",None,Multi-platform,42573,No Brakes Games,Curve Digital
21,The Elder Scrolls V: Skyrim,"30,000,000",The Elder Scrolls,Multi-platform,40858,Bethesda Game Studios,Bethesda Softworks
25,Pokémon Gold / Silver / Crystal,"29,490,000",Pokémon,Game Boy Color,"November 21, 1999",Game Freak,Nintendo
26,The Legend of Zelda: Breath of the Wild,"28,840,000",The Legend of Zelda,Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo
27,Super Smash Bros. Ultimate,"28,820,000",Super Smash Bros.,Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo
28,Duck Hunt,"28,300,000",None,NES,"April 21, 1984",Nintendo R&D1,Nintendo
29,Wii Play,"28,020,000",Wii,Wii,"December 2, 2006",Nintendo EAD,Nintendo
30,The Walking Dead,"28,000,000",The Walking Dead,Multi-platform,"April 24, 2012",Telltale Games,Telltale Games
31,Grand Theft Auto: San Andreas,"27,500,000",Grand Theft Auto,Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games
32,Super Mario World,"26,662,500",Super Mario,Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo
33,Call of Duty: Modern Warfare 3,"26,500,000",Call of Duty,Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision
34,Call of Duty: Black Ops,"26,200,000",Call of Duty,Multi-platform,"November 9, 2010",Treyarch,Activision
35,Borderlands 2,"26,000,000",Borderlands,Multi-platform,"September 18, 2012",Gearbox Software,2K Games
36,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"25,370,000",Pokémon,Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company
37,Grand Theft Auto IV,"25,000,000",Grand Theft Auto,Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games
38,Pokémon Diamond / Pearl / Platinum,"24,730,000",Pokémon,Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company
39,Pokémon Sword / Shield,"24,500,000",Pokémon,Nintendo Switch,"November 15, 2019",Game Freak,Nintendo / The Pokémon Company
40,Super Mario Bros. 3,"24,430,000",Super Mario,Multi-platform,"October 23, 1988",Nintendo EAD,Nintendo
41,Call of Duty: Black Ops II,"24,200,000",Call of Duty,Multi-platform,"November 12, 2012",Treyarch,Activision
42,FIFA 18,"24,000,000",FIFA,Multi-platform,"September 29, 2017",EA Vancouver,EA Sports
42,Kinect Adventures!,"24,000,000",None,Xbox 360,40486,Good Science Studio,Xbox Game Studios
44,Sonic the Hedgehog,"23,982,960",Sonic the Hedgehog,Multi-platform[c],"June 23, 1991",Sonic Team,Sega
45,Nintendogs,"23,960,000",None,Nintendo DS,"April 21, 2005",Nintendo EAD,Nintendo
46,Super Mario Odyssey,"23,930,000",Super Mario,Nintendo Switch,"October 27, 2017",Nintendo EPD,Nintendo
47,Mario Kart DS,"23,600,000",Mario Kart,Nintendo DS,"November 14, 2005",Nintendo EAD,Nintendo
48,Red Dead Redemption,"23,000,000",Red Dead,PS3 / Xbox 360,"May 18, 2010",Rockstar San Diego,Rockstar Games
49,Super Mario 64 / DS,"22,960,000",Super Mario,Nintendo 64 / DS,"June 23, 1996 / November 21, 2004",Nintendo EAD,Nintendo
50,Call of Duty: Modern Warfare 2,"22,700,000",Call of Duty,Multi-platform,"November 10, 2009",Infinity Ward,Activision
